text,sentiment_for_product,sentiment_for_video
"Really prefer the GT Cut 1 look, but will try to get a pair of the 2s!",positive,positive
I sprained my ankle in the first time playing in these 😢 but i still love them,positive,positive
i had to go up half a size. The traction is fantastic. There's a bit of heel slippage whether I wore my size or sized up. That was fixed by using a runner's lace lock technique. Then I blew out my calf.,positive,positive
They feel tight even tho I got the right size is that normal I barley got em,neutral,neutral
Bro you play at Central Park in la palma?! Lol,positive,positive
I feel like the tongue rings dig into my feet on my pair and it lowkey hurts. Also the heel slippage is pretty bad on these even when tied super tight with a runners not. I would pick a shoe like the lebron 20/nxxt over these any day of the week,negative,neutral
The get cut 2’s are comfy but I get really bad blisters from them,negative,negative
Man I recognize that court and I may have played in there before. SUPER dusty. I also have a pair of the GT Cut 2 and it grips great at that court.,positive,positive
I slipped a lot while I was doing crossover.This shoe's traction is bad at spinning or sideways even if it's in indoor hardwood courts.,negative,negative
"Are those gt cut 1,2,3 low or mid shoes?",neutral,neutral
"Mmm weight distribution? Balanced? Mm idk I would say it’s bottom heavy just by trying them on and simply looking at em. Won’t be much of a difference on court tho. Hopefully I can get some at clearance.

And rocking ankle braces all the time at your age? Hopefully not too much. Gotta allow your ankles to strengthen.. if anything I only wear them during highly competitive Rec league games. Otherwise don’t do it kids.",neutral,neutral
I really like the 2 but somehow my left insole feels like a bubble in the forefoot like it would pop any secone if I put more strength into it. Anyone has the problem too?,positive,positive
Would you be willing to do a review on those Zamst ankle braces?,neutral,positive
How was the sizing?,neutral,neutral
Most mid shoe I have ever put on walked around in them for 5 mins and returned them,positive,positive
Cut 2 looks like the epic reacts,neutral,neutral
GT cut 2 vs 808 2?,neutral,neutral
Best low tops of 2022 vid?,positive,positive
"I just poked through the heel zoom, so I could be more contained inside the shoe.",neutral,neutral
Amen!,neutral,neutral
I have the Devin Booker PE version,neutral,neutral
Pinoy ka po? Galing mo mag review,neutral,neutral
Ayo how bout that Brea community center court though haha wtf. That’s my OG court,neutral,positive
why do these low-key look like NB fresh foam Cruz,positive,positive
What is GT stands for?,neutral,neutral
gt cut 2 or kd 15 ? help  :(,netural,neutral
"Oof, history suggests this model goes downhill. Hyperfuse 1 was amazing, all other hyperfuse models were not comparatively same with the bb1 to the bb2",neutral,positive
What are you talking about bro? Its even more bottom heavy then the first one...,negative,negative
I still need to know what that song is mannnnnn,neutral,neutral
For these I would most likely double sock,positive,positive
Allen Iverson brother,neutral,neutral
Way of wade 808 2,neutral,neutral
#PUSO,neutral,neutral
I thought Chris (Nightwing2303) himself used to do the reviews? What's happened to the channel?,neutral,neutral
pinoy?,neutral,neutral
2 words. Heel slippage!!! Absolutely unacceptable!!!,positive,positive
lmao i hate that lemon gym my rs dreamers cant grip on it,negative,negative
You Pinoy?,neutral,neutral
That shoe is trash. I could not put that ugly ass thing on my foot for $160. How did they go from the first one to that???,negative,negative
play safe much,positive,positive
Wait...who tf is that guy?,neutral,neutral
Gt 1 look like trash,negative,negative
