text,sentiment_for_product,sentiment_for_video
Fission 9 review when?,neutral,neutral
killed this. great job.,positive,positive
Love the message on the hoodie! I’ve been meaning to grab a GT Cut. Are these breathable? Will you do a comparison videos between these and the take down version?,neutral,positive
"just got my pair from a retailer today, it's very interesting how my first reaction was also "" damn these are fun"". The traction feels awesome, the rubber feels really sticky, and the heel to toe transition is impeccable, very smooth. However, I would say the court feel isn't that great comparing to the ja 1s, Kyrie's, and kobe's, cuz it feels a little high off ground. The cushioning feels new to me, it doesn't have the compressive feeling of a zoom unit, but rather feels soft. There's a visible grey pebax plate (or whatever it's called) under the rubber, and it allows you to have a quick explosive comeback when you do stuff like the rocker step. Overall, very interesting shoes! (ps. in my opinion, if you are buying the ep versions, you should go down half a size)",positive,positive
"I want to add these to  my rotation of basketball rotation these, Lebron 20, Kobe 4, and Serious Player only",positive,positive
"looks and seems with nice features, but only zoomX over air zoom is a no go  :(",neutral,neutral
I played in the GT Cut 3s for 6+ hours now and they attract a lot of dust. Playing basketball is super annoying if you have to wipe after every other play. Maybe solid rubber will be better? Idk has anyone had the same experience? Do they get better? Thinking about returning them already lol,negative,neutral
Any frame do we see the inner side of the shoe?,neutral,neutral
i'm in the market for a running shoe..last one i had was a the lunar back in 2018...what's the follow up to that shoe?,neutral,neutral
They look like Lebrons 21,neutral,neutral
They definitely look nice,positive,positive
"These give me the same feeling as the original crazylight boosts back in 2016- the cushioning compared to other hoop shoes is next level. Haven't been this excited about the introduction of new tech in a hoop shoe since then, and have not been disappointed!",neutral,neutral
"Chinese brand like Li-Ning & Anta already great at making basketball shoes with Supercritical midsole with carbon fiber plate, Nike is kinda late to do this",positive,positive
We don't wipe soles in PR. we just play in any court.,neutral,neutral
"At least where I play here in Brazil,we don't usually wipe the traction and it's very rare to see someone doing it too. And it's outdoors!",neutral,neutral
Look like lebrons,neutral,neutral
Good,positive,positive
"I got the miami vibes color way, the fit feels great, traction hands down.",positive,positive
Those are fire 🔥,neutral,neutral
Looking like a LeBron @ first glance,positive,positive
Seeing mixed initial impressions! Any date on US release?,neutral,neutral
Of all the reviews you were the first one to praise the ZoomX. Gives me hope.,positive,positive
I’ve been saying this ever since I saw this. The shape of the midsole really reminds of me the Jordan Jumpman Hustle.,positive,positive
"Reminds me of the old Alpha Project, the line that kinda pioneered the way for the Hyperfuse line or something. The kicks that had the transparent heel counter. They came out around the time of the Ultraposites, Flightposite 3s, Hyperdunks and VCs Shox. I think Gary Payton wore them in LA",neutral,neutral
👍,neutral,neutral
I bought these for my son but bummed they don’t have a shank. They fold in half so I’m not sure they will have much energy return.,neutral,neutral
@Weartesters do these feel high off the ground? or feel like there could be stability issues? I only ask because the heel looks high off the ground compared to the forefoot. thanks,positive,positive
why did those leak photos of a different shoe came out like a month ago..? they came out as GTcut 3s..,neutral,neutral
How would you compare this to any of the Kobe line? I’ve been chasing the Kobe 5-6 feeling.,neutral,neutral
Actually look good 🎉,positive,positive
Happy🎉 2024,neutral,neutral
"Imagine ZoomX with Zoom Air in GT Cut 4.

MIND BLOWNNN",neutral,neutral
The 2s look better to me,neutral,neutral
"My son has both GT Cut 3 and Academy.  He loves the Academy and is a great value but the GT Cuts 3 are in another level with comfort, cushioning and energy return.",positive,positive
"My comment would be, can they make 3/4 or high top versions like back in the day.",positive,positive
I agree that this should have been the successor to the first one appearance wise. The GT Cut 2 looks like it's from a branched timeline. 😂,positive,positive
Those are the same design as the sabrina one,neutral,neutral
I was just hoping that they don’t cage the zoom X foam because that’s the most comfortable Nike Foam,positive,positive
Looks like it is a winner for sure!,positive,positive
"I wish the insole was just a full length piece of Zoom Air 🫠 I’m excited to try these, been wanting ZoomX in non runners ever since owning the OG Invincible Run",positive,positive
"Changed mine with red laces, made it look like kobe grinch a bit😁",neutral,neutral
"Hello, I have a question about GT CUT 3. The models in the video are clear-outsole models, and there is a model called CNY as a commemorative of the Year of the Snake, which is a rubber outsole model with opaque outsole. Is there a big difference between that model and the regular model? I can't find a review of opaque models like CNY. 😭 Please help me, everyone",neutral,neutral
"Bro, they don’t even look like a basketball shoe they look like a running shoe😂😂",neutral,neutral
this should be on Nike By You. Imagine the colorways you can create,positive,positive
"Man, that colourway reminds me of the Zoom Flight 2K3 Varsity Red",neutral,neutral
Thanks as always for the review! I’m looking forward to seeing more colorways / loving ZoomX these days!!,positive,positive
Can't wait for GT Jump 3.,neutral,neutral
ja 1 or gt cut 3 (which one better for their price?),positive,positive
Oooooh!!! Good to hear that they did this right…unlike the React launch with the superfly. I remember that nonsense. LOL. Really excited to see the performance review…..those look so dope! It kinda takes me back to early 2000 nike basketball where they were putting out crazy performance bangers!,positive,positive
"Maybe he already talked about it in another video (maybe he wants his privacy), but what’s up with Mr. Wing’s hip? I’ve been missing his performance review videos for a while, but he can’t hoop anymore at all? Just wishing him good health (as a fellow aging hooper)",neutral,positive
"Hey Chris, just wanted to ask are you not able to play any at all anymore?",neutral,neutral
Looks like a Iverson/ Jordan Runner...🔥🔥 Tho,neutral,neutral
These for some reason give me Iverson vibes. I dig’em!,neutral,neutral
Are these wide foot friendly?!!,positive,positive
Has any one tried wearing with a brace? Should I go half a size up,negative,negative
"Stoked to c a new gt cut. Great review, informative as always",positive,positive
They were the Ultraflights. Thats what these kinda remind me of. The Zoom Ultraflights,neutral,neutral
"So fast dude, you earned my sub today.",positive,positive
"Being from overseas, they come with XDR?",neutral,neutral
Atleast they ditched the drop in. Maybe next year they will put real zoom in em.,neutral,neutral
It kinda looks like the lebron 21,neutral,neutral
These look great 😊,positive,positive
They were the Ultraflights. Thats what these kinda remind me of. The Zoom Ultraflights,neutral,neutral
"Loved the GT Cut 2s, they were my favorite hoop shoe of the past season. I've been saying the 3s are gonna be the best hoop shoes of this season so I'm very hyped",positive,positive
"Hey Chris, where did you cop the ""Kind Words Cost Nothing"" hoodie from?
Love from Australia!",positive,positive
just finished painting a fence for 3 hours now im watching this masterpiece.. ill come back to this in 3 years🙌🏽,positive,positive
Damn Zion caught a stray haha,positive,positive
Definitely a nice looking shoe. I hope the colorways are on point.,positive,positive
I think they’re 🔥 $190 is too much tho,positive,positive
"I love you Christ❤, but I’m a real hooper and I didn’t wipe my sole 😂 next time I will do it thanks man",positive,positive
🤪air you a Hooper?..... Love it!!!!!,positive,positive
Why does that shoe has the Sabrina 1 frame? I was doing some Nike ID and k could swear it's the same shoe,neutral,neutral
Immma need that green pair!!! Headed to ID4 shoes in 3 2 1...😂,positive,positive
Pls review the gt cut 3 zoom 5 edition the jason kidd version. 🙏🏼,neutral,neutral
these look great but if these don’t have some zoom air in the forefoot i might have to pass because between zoom in the fore foot and heel in the basketball models and the zoom infront zoomx everywhere in thier runners (the best set up imo) it’s just the best they offer. zoom air>>,neutral,positive
I loved the Gt Cut .1 was lucky to get 2 pairs  .2 was a let dwn IMO. Im loving the .3 tho cnt wait 4 otha colorways,positive,positive
Are these good for wide-footed guy like me?,neutral,positive
